Date,Open,High,Low,Close
1980-03-13,265.62,265.62,265.62,265.62
1980-03-14,264.96,264.96,264.96,264.96
1980-03-17,259.03,259.03,259.03,259.03
1980-03-18,258.82,258.82,258.82,258.82
1980-03-19,258.89,258.89,258.89,258.89
1980-03-20,259.99,259.99,259.99,259.99
1980-03-21,258.5,258.5,258.5,258.5
1980-03-24,257.37,257.37,257.37,257.37
1980-03-25,255.98,255.98,255.98,255.98
1980-03-26,256.09,256.09,256.09,256.09
1980-03-27,253.89,253.89,253.89,253.89
1980-03-28,252,252,252,252
1980-03-31,249.78,249.78,249.78,249.78
1980-04-01,253.17,253.17,253.17,253.17
1980-04-02,256.58,256.58,256.58,256.58
1980-04-03,255.45,255.45,255.45,255.45
1980-04-04,256.15,256.15,256.15,256.15
1980-04-07,258.13,258.13,258.13,258.13
1980-04-08,259.42,259.42,259.42,259.42
1980-04-09,259.83,259.83,259.83,259.83
1980-04-10,259.22,259.22,259.22,259.22
1980-04-11,262.42,262.42,262.42,262.42
1980-04-14,261.93,261.93,261.93,261.93
1980-04-15,260.06,260.06,260.06,260.06
1980-04-16,261.18,261.18,261.18,261.18
1980-04-17,261.17,261.17,261.17,261.17
1980-04-18,262.34,262.34,262.34,262.34
1980-04-21,263.55,263.55,263.55,263.55
1980-04-22,261.86,261.86,261.86,261.86
1980-04-23,260.21,260.21,260.21,260.21
1980-04-24,262.22,262.22,262.22,262.22
1980-04-25,264.64,264.64,264.64,264.64
1980-04-28,261.69,261.69,261.69,261.69
1980-04-29,259.77,259.77,259.77,259.77
1980-04-30,259.35,259.35,259.35,259.35
1980-05-01,260.28,260.28,260.28,260.28
1980-05-02,257.07,257.07,257.07,257.07
1980-05-05,257.58,257.58,257.58,257.58
1980-05-06,252.12,252.12,252.12,252.12
1980-05-07,253.24,253.24,253.24,253.24
1980-05-08,254.03,254.03,254.03,254.03
1980-05-09,249.48,249.48,249.48,249.48
1980-05-12,247.01,247.01,247.01,247.01
1980-05-13,247.55,247.55,247.55,247.55
1980-05-14,247.64,247.64,247.64,247.64
1980-05-15,248.05,248.05,248.05,248.05
1980-05-16,249.61,249.61,249.61,249.61
1980-05-19,247.76,247.76,247.76,247.76
1980-05-20,245.25,245.25,245.25,245.25
1980-05-21,244.72,244.72,244.72,244.72
1980-05-22,244.17,244.17,244.17,244.17
1980-05-23,242.6,242.6,242.6,242.6
1980-05-27,242.55,242.55,242.55,242.55
1980-05-28,245.93,245.93,245.93,245.93
1980-05-29,245.41,245.41,245.41,245.41
1980-05-30,244.53,244.53,244.53,244.53
1980-06-02,244.56,244.56,244.56,244.56
1980-06-03,244.62,244.62,244.62,244.62
1980-06-04,243.42,243.42,243.42,243.42
1980-06-05,242.12,242.12,242.12,242.12
1980-06-06,241.41,241.41,241.41,241.41
1980-06-09,239.45,239.45,239.45,239.45
1980-06-10,238.9,238.9,238.9,238.9
1980-06-11,240.54,240.54,240.54,240.54
1980-06-12,239.43,239.43,239.43,239.43
1980-06-13,240.01,240.01,240.01,240.01
1980-06-16,238.28,238.28,238.28,238.28
1980-06-17,238.93,238.93,238.93,238.93
1980-06-18,238.57,238.57,238.57,238.57
1980-06-19,238.76,238.76,238.76,238.76
1980-06-20,239.6,239.6,239.6,239.6
1980-06-23,238.44,238.44,238.44,238.44
1980-06-24,238.65,238.65,238.65,238.65
1980-06-25,240.35,240.35,240.35,240.35
1980-06-26,240.07,240.07,240.07,240.07
1980-06-27,240.57,240.57,240.57,240.57
1980-06-30,243.11,243.11,243.11,243.11
1980-07-01,243.01,243.01,243.01,243.01
1980-07-02,242.66,242.66,242.66,242.66
1980-07-03,243.23,243.23,243.23,243.23
1980-07-07,244.38,244.38,244.38,244.38
1980-07-08,245.61,245.61,245.61,245.61
1980-07-09,244.37,244.37,244.37,244.37
1980-07-10,243.38,243.38,243.38,243.38
1980-07-11,244.22,244.22,244.22,244.22
1980-07-14,244.07,244.07,244.07,244.07
1980-07-15,244.82,244.82,244.82,244.82
1980-07-16,244.72,244.72,244.72,244.72
1980-07-17,245.46,245.46,245.46,245.46
1980-07-18,245.88,245.88,245.88,245.88
1980-07-21,246.81,246.81,246.81,246.81
1980-07-22,247.91,247.91,247.91,247.91
