Date,Open,High,Low,Close
2002-09-24,1.5832,1.5909,1.5825,1.5887
2002-09-25,1.5868,1.5887,1.5788,1.5806
2002-09-26,1.5798,1.5826,1.5744,1.5756
2002-09-27,1.576,1.578,1.5744,1.5778
2002-09-30,1.5794,1.5883,1.5754,1.5867
2002-10-01,1.5875,1.5901,1.5791,1.5821
2002-10-02,1.5832,1.5889,1.5811,1.5889
2002-10-03,1.5897,1.5929,1.5875,1.5924
2002-10-04,1.5918,1.5953,1.5872,1.5932
2002-10-07,1.5926,1.5954,1.5903,1.5954
2002-10-08,1.5961,1.5974,1.5882,1.5974
2002-10-09,1.5966,1.5991,1.5934,1.5981
2002-10-10,1.5969,1.5989,1.5892,1.5897
2002-10-11,1.5895,1.5916,1.5856,1.5871
2002-10-14,1.587,1.5884,1.5839,1.5864
2002-10-15,1.5862,1.5889,1.5827,1.5866
2002-10-16,1.5867,1.5899,1.5824,1.5842
2002-10-17,1.5848,1.5856,1.5698,1.5709
2002-10-18,1.5701,1.5751,1.5689,1.5741
2002-10-21,1.575,1.5753,1.5637,1.5638
2002-10-22,1.5645,1.5703,1.5627,1.5688
2002-10-23,1.5689,1.5701,1.5657,1.5665
2002-10-24,1.5658,1.5668,1.5604,1.5653
2002-10-25,1.5668,1.5695,1.5629,1.5673
2002-10-28,1.5673,1.5681,1.5566,1.5589
2002-10-29,1.5591,1.5661,1.5559,1.5642
2002-10-30,1.5635,1.5681,1.5626,1.5657
2002-10-31,1.567,1.5688,1.557,1.5594
2002-11-01,1.5613,1.5631,1.5546,1.5587
2002-11-04,1.557,1.5598,1.5532,1.5553
2002-11-05,1.5573,1.5584,1.5544,1.5576
2002-11-06,1.5579,1.5597,1.5534,1.5534
2002-11-07,1.5535,1.558,1.5514,1.5572
2002-11-08,1.5565,1.5664,1.5551,1.5656
2002-11-11,1.5652,1.5715,1.5638,1.5701
2002-11-12,1.5707,1.5792,1.5678,1.5792
2002-11-13,1.5802,1.5818,1.5736,1.5763
2002-11-14,1.5777,1.5781,1.5744,1.5757
